"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Day"	"Initial Wave Arrival Hour"	"Initial Wave Arrival Minute"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hour"	"Max Wave Arrival Minute"	"Maximum Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"IWATE"	"MINATO"	34.63	138.91	75.027									2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"TAKAGAMI"												1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"GUMMA"	"TAKASAKI"	36.33	139	143.776									3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"MIE"	"TOBA"	34.483	136.817	254.898	1	4		1	0				0.6		2														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"TOGAWA"	35.7	140.85	139.537									1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TSHIBA"	"TOMIURA"	35.05	139.83	30.604									2.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"USAMI"	35.02	139.05	41.998									7.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"CHIBA"	35.567	140.05	72.006				0	27				0.75		2	80													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"KATSUURA"	35.133	140.25	68.467									1.2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"KUSUMI"	34.97	139.12	37.554									9		1										2	300	2	300	3
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"CHIKURA"	34.95	139.56	17.519									2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"ITO"	34.97	139.07	41.804									9		1										2	300	3		
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"KOAJIRO"	35.156	139.633	13.622									1.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"OITA"	"MIURA"												0.2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"HEISAURA GULF"	34.938	139.82	34.292											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"AKIYA"	35.237	139.602	17.815									3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"SOTOURA"	34.67	138.98	67.345									6		1				2						2				
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"BONIN IS, TOKYO"	"FUTAMI PORT"	27.1	142.183	923.05											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"KOTSUBO"	35.296	139.558	22.377											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"NAGAI"	35.209	139.614	15.942									1.2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"INATORI"	34.77	139.0414	55.639									6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"NEBUKAWA"	35.2	139.1333	35.208											1			200	3						2				
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"KANETA"												3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"KAMOGAWA"	35.1	140.1	54.706									1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKYO"	"MITAKA"	35.66	139.55	62.297	1	4	28	1	30				4.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"YUIGAHAMA"	35.283	139.567	21.2									6		1			100	2						3		3		
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"DJOGASHIMA ISLAND"	35.132	139.619	11.414											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"TOYOOKO"														1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"RYUKYU ISLANDS"	"TANEGASHIMA ISLAND"	30.8	131.07	920.746											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"MIYAZAKI"	"TSURUSHIMA"	31.917	131.417	829.485	1	4	40	1	42				0.15		2	60													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"OTSU"	35.26	139.694	25.047									1.2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"BONIN IS, TOKYO"	"HAHAJIMA ISLAND"	26.7	142.13	964.519											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"OSAKA"	"OSAKA"	34.667	135.5	368.785	1	5	1	2	2				0.33		2	75	"R"												
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"TATEYAMA"	34.983	139.85	34.472									1.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKYO"	"TOKYO BAY"	35.65	139.8	66.834									1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"ZUSHI"	35.23	139.65	19.869									5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"HARAOKA"	35.05	139.833	30.874									1.3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"MATSUVA"												1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"SHIMOTAGA NIIKAMA"	35.046089	139.073589	39.349									7.2		1										1				
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"TSUKUI"												1.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"AKAZAWA"												3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKUSHIMA"	"OKAZAKI"	34.183	134.621	458.696											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"OITA"	"TAKATA"	33.55	131.45	760.302											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"CHOSHI"	35.75	140.867	143.567	1	3	40	0	41				0.3		2	45	"R"												
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"NEW ZEALAND"	"WELLINGTON"	"WELLINGTON: LAMBTON HARBOUR"	-41.29	174.78	9195.037	4								0.1		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKUSHIMA"	"COAST OF SHIGA"												0.9		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"HORIUCHI"	35.276	139.572	20.598									3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"CHIBA PREFECTURE"	35.71	140.16	90.413	1	3	26	0	27						1										1	48	1		
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"HOTA"	35.133	139.85	32.115									3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"KANAYA"	34.82	138.14	128.036									1		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"KAWANA"	34.88	139.08	45.454									6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"KISARAZU"	35.39	139.94	51.37									1.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"NIEMONIJIMA"	35.0775	140.10419	55.152									2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"MIE"	"OWASE"	34.083	136.2	323.057	1	3	44	0	45				0.54		2	24	"R"												
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"WADA"	35.54	140.02	67.962									2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"FUTSU"	35.305	139.819	36.893									0.6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"YOSOHAMA"							0	52				0.3		2	80													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TSHIBA"	"NOJIMA"	34.8	139.88	48.088									1.5		2														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"ATAMI"	35.089	139.069	39.319									12		1			60	2						2	155	3		2
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"IJIRI"												1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"OITA"	"OITA"	33.267	131.683	748.511									0.6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"KAMITAGA"												4.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"HATSUSHIMA ISLAND"	35.04	139.17	30.827									1.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"OITA"	"HIMA ISLAND"														1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"BONIN IS, TOKYO"	"FUTAMI BAY, CHICHIJIMA ISLAND"	27.0939	142.195	924.019									0.9		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"URAGA"	35.23	139.72	24.693									0.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"ARAI"	34.68	137.56	183.351									3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKYO"	"GOFUKUBASHI"	35.683	139.767	69.081	1	3	41	0	42				0.52		2														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"MIYAZAKI"	"HOSOSHIMA"	32.433	131.667	783.302	1	4	50	1	52				0.32		2	58	"R"												
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"FUKUI"	"KATSUYAMA"	36.08	136.49	293.644									2.2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"KOURA"	34.667	134.667	444.379									2.1		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TSHIBA"	"MAKUCHI"	35.39	140.03	57.983									4.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKYO"	"OKADA"	34.783	139.383	36.756									12		1			14	1						1	4	1		
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"IZU-OSHIMA, TOKYO"	"OSHIMA ISLAND"	34.75	139.416	39.58									13		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"AOMORI"	"SAME (AOMORI PREFECTURE)"	36.9	140.82	232.491	1	5	15	2	17				0.4		2	48													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"YAMAGUCHI"	"FUKUGAWA"	34.067	131.733	721.567				0	42				0.6		2	42													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"CANADA"	"BC"	"TOFINO (CLAYOQUOT),BRITISH COLUMBIA"	49.153	-125.913	7458.109	1	16	16	13	17				0.04		2	15	"R"												
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"KOMINATO"	35.15	140.18	62.229									1.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"MIYAGI"	"OKAWA"	34.833	139.067	49.408									4.1		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"SHIROTA"												3.6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"HAYAMA"	35.267	139.567	19.507									5		1										1				
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"USA"	"HI"	"HONOLULU, OAHU, HI"	21.3067	-157.867	6235.579									0.03		2	21													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"ODAWARA"	35.25	139.16	35.159											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"TOMISAKI"	34.9213	139.8265	35.794											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"FUTO"	34.908	139.13	39.931									0.6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKUSHIMA"	"KAWAUCHI"	34.096	134.58	464.806									0.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKUSHIMA"	"MUYA (NARUTO)"	34.183	134.617	459.053									0.6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"NORTH COAST SAGAMI BAY"	35.32	139.35	27.969									9		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"MANAZURU"	35.15	139.15	32.381									6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"FUJIWARA"	35.06	139.03	43.093									7.2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"HASAMA"												1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"IBARAKI"	"IWAI"	36.333	140.583	168.279									3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"WAKAYAMA"	"KUSHIMOTO"	33.467	135.783	387.19	1	4	0	1	2				0.48		2	22	"R"												
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"MIURA"	35.14	139.619	11.72									3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"FUKUSHIMA"	"ONAHAMA"	36.933	140.9	239.354									0.18		2														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"TOKYO"	"SIBAURA"	35.633	139.75	63.349	1	3	31	0	32				0.79		2														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"NIIGATA"	"TOYOOKA"	35.53	134.78	431.823									1.7		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"YOKOSUKA"	35.3	139.65	26.056	1	3	1	0	2				1.7		2	24													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"MINATOMACHI"				1	3	51	0	52				0.3		2	80													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"IZUMISAN REGION"												2		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"OISO"	35.31	139.41	24.698									1.8		1										2				
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"AJIRO"	35.04	139.07	39.781									7.2		1										1		1		
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"SAKATARU"												3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"ENOSHIMA ISLAND"	35.3	139.48	22.263									5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"MATSUBE"	35.146	140.291	72.281									1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"MIYAGI"	"AYUKAWA"	38.3	141.5	397.519	1	5	6	2	8				0.2		2	26													
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"FUNABASHI"	35.693	139.983	79.081									0.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"MIYAGI"	"ISHINOMAKI"	38.417	141.267	400.464	1	4	28	1	30																				
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"		"KAWATSU"												3		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"KUGENUMA"	35.2	139.28	22.912									6		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"MIYAGI"	"URATO"	38.317	141.05	382.902									0.21		2														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"KATASE"	35.309	139.483	23.239									1.5		1			50	1										
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"AINOHAMA"	34.917	139.817	35.347									10.3		1										2		2		
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"CHIBA"	"SHIRAHAMA"	34.906	139.9	42.385									1.5		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"HINODE"	35.531	139.742	52.639											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"ABURATSUBO"	35.158	139.62	12.69									1.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"SHICHIRIHAMA"	35.305	139.51	22.762											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"SUZAKI"	34.65	138.967	69.763									8.1		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"YOSHIHAMA"														1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"NISHIURA"												1.8		1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"SHIZUOKA"	"FUKUURA"	35.3497	139.6487	30.834											1														
	1923	9	1	2	58	37	4	1	1526	7.9			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.309	139.55	23.63									6		1			150	3										
	1923	9	2	2	46	40	4	1	1527	7.7			"n"	"CANADA"	"BC"	"TOFINO (CLAYOQUOT),BRITISH COLUMBIA"	49.153	-125.913	7428.362	2	15	47	13	0				0.05		2	18	"R"												
	1923	9	2	2	46	40	4	1	1527	7.7			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.309	139.55	74.638											1														
	1923	9	2	2	46	40	4	1	1527	7.7			"n"	"JAPAN"	"SHIZUOKA"	"SUNOSAKI"	34.57	139.76	54.442									0.3		1														
	1923	9	2	2	46	40	4	1	1527	7.7			"n"	"JAPAN"	"SHIZUOKA"	"ATAMI"	35.089	139.069	105.361											1														
	1923	9	2	2	46	40	4	1	1527	7.7			"n"	"JAPAN"	"SHIZUOKA"	"ITO"	34.97	139.07	103.528											1														
	1923	9	2	2	46	40	4	1	1527	7.7			"n"	"JAPAN"	"CHIBA"	"KATSUURA"	35.133	140.25	26.249											1														
	1923	9	4				-1	9	1525				"m"	"USA"	"CA"	"JOSE DE CADO"												6.1		1														
	1923	11	2	21	8	11.5	3	1	1528	7.1			"n"	"PAPUA NEW GUINEA"	"EAST NEW BRITAIN"	"RABAUL (BLANCHE BAY), NEW BRITAIN"	-4.22	152.18	232.726											1														
	1923	11	2	21	8	11.5	3	1	1528	7.1			"n"	"PAPUA NEW GUINEA"	"EAST NEW BRITAIN"	"SIMPSON HARBOUR, NEW BRITAIN"	-4.21	152.17	234.043											1														
	1923	11	4	0	4	47.8	1	1	1529	7.1			"n"	"PAPUA NEW GUINEA"	"EAST NEW BRITAIN"	"RABAUL, NEW BRITAIN"	-4.22	152.18	108.773											1														
	1923						2	4	5720	6.1	7444		"n"	"VIETNAM"		"MUI NE"	10.93	108.29	116.495											5														
	1923						2	4	5720	6.1	7444		"n"	"VIETNAM"		"NHA TRANG"	12.22	109.2	228.993										6	1										1				
	1924	3	15	10	31	24.1	0	1	1531	6.8			"n"	"RUSSIA"		"UGLEGORSK RIVER"	49.1	142.05	29.504											1														
	1924	4	14	16	20	23	4	3	1536	8.3			"n"	"PHILIPPINES"		"CARAGA BAY"	7.327	126.564	91.731											1														
	1924	4	14	16	20	23	4	3	1536	8.3			"n"	"PHILIPPINES"		"MATI MINDANAO"	6.953	126.216	59.123											1														
	1924	4	14	16	20	23	4	3	1536	8.3			"n"	"PHILIPPINES"		"BINUANGAN"	7.36677	125.85	119.784											1														
	1924	5	6	16	9	20	4	3	1538	6.5			"n"	"PHILIPPINES"		"AGNO, LUZON ISLAND"	16.1194	119.7992	192.971											1										1				
	1924	5	30				-1	9	1540				"m"	"USA"	"HI"	"NAWILIWILI, KAUAI, HI"	21.927	-159.36										5		1														
	1924	5	30				-1	9	1540				"m"	"USA"	"HI"	"OAHU ISLAND, HI"														1														
	1924	5	30				-1	9	1540				"m"	"USA"	"HI"	"KAUMALAPAU, LANAI, HI"	20.787	-156.991										5		1														
	1924	6	26	1	37	34	3	1	1543	7.8			"n"	"AUSTRALIA"		"SYDNEY"	-33.85	151.233	2508.301											2														
	1924	7	19				1	0	1544				"n"	"NEW ZEALAND"		"CHATHAM ISLAND"	-43.95	-176.567	0											1										1				
	1924	8	8				1	0	2457				"n"	"USA"	"NY"	"CONEY ISLAND, NY"	40.567	-73.982	0.085									4.6		1							4	1						
	1924	8	30	3	4	7	2	1	1546	7.3			"n"	"PHILIPPINES"		"HINATUAN"	8.37	126.3342	23.24											1														
	1924	8	30	3	4	7	2	1	1546	7.3			"n"	"PHILIPPINES"		"BISLIG"	8.2153	126.3164	37.422											1														
	1925	1	8				1	1	1549				"n"	"INDONESIA"	"SOUTH EAST SULAWESI"	"BAUBAU, BUTUNG IS."	-5.4633	122.6024	886.005									1		1														
	1925	2	23	23	53	36	3	3	1550	6			"n"	"USA"	"AK"	"VALDEZ, AK"	61.13	-146.33	127.2											1										1				
	1925	5	4	17	25		1	0	5497				"n"	"MEXICO"			14.58333	-106.1	0.037	4	17	25						6		1														
	1925	5	5	10	6	6	2	1	1554	6.8			"n"	"PHILIPPINES"		"SOUTH COAST OF NEGROS ISLAND"	9.04	123.01	44.584											1														
	1925	5	25	3	43	6	2	1	1556	6.3			"n"	"PHILIPPINES"		"TUGDAN,  TABLAS ISLAND"	12.305	122.081	11.798											1														
	1925	5	25	3	43	6	2	1	1556	6.3			"n"	"PHILIPPINES"		"ROMBLON ISLAND"	12.5	122.25	36.981											1														
	1925	10	4	16			4	9	1558				"m"	"USA"	"CA"	"LONG BEACH, CA"	33.75	-118.22										0.34		2	63													
	1925	10	4	16			4	9	1558				"m"	"USA"	"HI"	"HONOLULU, OAHU, HI"	21.3067	-157.867										0.1		2	20													
	1925	11	13	12	14	45	2	1	1559	7.3			"n"	"PHILIPPINES"		"BATAG ISLAND"	12.667	124.367	77.968											1				2						2		3		3
	1925	11	13	12	14	45	2	1	1559	7.3			"n"	"PHILIPPINES"		"MANILA"	14.604	120.982	469.277											1														
	1925	11	16	11	54	54	1	1	1560	7			"n"	"MEXICO"	"GUERRERO"	"ZIHUATANEJO"	17.667	-101.642	574.59									10		1														
	1925	12	22				1	9	1562				"m"	"MICRONESIA, FED. STATES OF"		"YAP ISLAND, CAROLINE ISLANDS"	9.517	138.133	55.38											1				3						3		3		
	1926	1	9				2	8	2464				"n"	"USA"	"ME"	"COREA, ME"	44.401	-67.976	35.196											1														
	1926	1	9				2	8	2464				"n"	"USA"	"ME"	"BERNARD, ME"	44.233	-68.35	0									3		1		"F"												
	1926	1	9				2	8	2464				"n"	"USA"	"ME"	"VINALHAVEN ISLAND, ME"	44.083	-68.867	44.589											1														
	1926	1	25	0	36	25	3	1	1563	7.5			"y"	"USA"	"HI"	"HAWAII ISLAND, HI"														1														
	1926	3	20	9	3		1	1	1565				"y"	"USA"	"HI"	"WAILUPE, OAHU, HI"	21.28	-157.76	250.497									1.5		1														
	1926	3	31				-1	9	1564				"m"	"COOK ISLANDS"		"PALMERSTON ISLAND"	-18.067	-163.167												1			1	1						2		2		
	1926	6	28	3	23	25	0	1	1567	5.8			"n"	"INDONESIA"	"WEST SUMATRA"	"SUDJUNDJUNG"	-0.7	100.6	0											7								3		2				
	1926	8	31	10	40	8	1	1	1570	5.8			"n"	"AZORES (PORTUGAL)"		"ILHA DE FAYAL, AZORES"	38.57	-28.7	66.963									0.3		1														
	1926	9	16	17	59	15	4	1	1572	6.9			"n"	"SOLOMON ISLANDS"		"CAPE ESPERENSE, GUADALCANAL"	-9.25	159.7	50.935											1														
	1926	9	16	17	59	15	4	1	1572	6.9			"n"	"SOLOMON ISLANDS"		"OVI HARBOR, KOKOMARUKI, GUADALCANAL"	-9.56	159.633	17.764									2		1										1				
	1926	12	9				2	1	1573	6			"n"	"CHILE"	"CHANARAL"	"CHANARAL"	-26.38	-70.67	182.46											1														
	1926	12	9				2	1	1573	6			"n"	"CHILE"	"COPIAPO"	"CALDERA"	-27.067	-70.833	104.695											1														
	1926	12	9				2	1	1573	6			"n"	"CHILE"	"HUASCO"	"HUASCO"	-28.467	-71.22	56.078											1														
	1926						2	0	5531				"n"	"NEW ZEALAND"	"GISBORNE"	"TOLAGA BAY"	-38.37	178.31	0									6.35		1										1				
	1927	1	1	8	17		1	9	1575	5.7			"m"	"USA"	"CA"	"SAN PEDRO, CA"	33.707	-118.273	291.392											1			1	1					3	2				
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"	"KYOTO"	"AMINO"	35.68	135.03	10.908									0.5		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"		"MIZU"							3	30				0.6		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"	"HOKKAIDO"	"TOMARI"	41.08	141.42	821.294									0.6		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"	"KYOTO"	"TAKENO"	35.75	135.1	16.643									0.45		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"		"TAKUHI"												0.75		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"		"KAKEZU"												0.75		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"	"KYOTO"	"SHIOFUKI"	35.67	134.97	14.106											1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"	"SHIMANE"	"ISO"												0.75		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"		"TAIZA (TANGO)"												11.3		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"	"HYOGO"	"TSUIYAMA"	35.65	134.833	24.815									0.3		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"		"KAZURANO"												0.75		1														
	1927	3	7	9	27		4	3	1576	7.6			"n"	"JAPAN"		"KYUSO"												0.75		1														
